,origin_ratio,dest_ratio
14761,32310.106382978724,78565.4255319149
14771,619988.5638297872,956704.2553191489
14783,63795.21276595745,39041.755319148935
14794,3966.755319148936,2978.4574468085107
14802,5584.308510638298,6509.04255319149
14814,25002.925531914894,20688.563829787236
14828,-2205.5851063829787,-721.0106382978723
14831,97935.37234042553,77995.74468085106
14842,-49.202127659574465,2373.1382978723404
14843,94968.6170212766,128808.24468085106
14869,18835.372340425532,100158.77659574468
14877,9146.808510638299,5661.436170212766
14893,51006.64893617021,86379.78723404255
14905,987.2340425531914,231.64893617021278
14908,49859.574468085106,34689.09574468085
14952,8817.287234042553,8975.0
14955,-550.2659574468086,-172.0744680851064
14960,723.4042553191489,845.7446808510638
14986,28383.510638297874,11306.648936170213
15008,832.7127659574468,50.797872340425535
15016,243585.37234042553,195926.59574468085
15023,9217.553191489362,7235.106382978724
15024,907.1808510638298,7718.085106382979
15027,-688.2978723404256,3129.255319148936
15041,5579.255319148936,-1024.2021276595744
15048,8508.510638297872,5387.765957446809
15070,18857.978723404256,12207.978723404256
15074,299.7340425531915,1226.595744680851
15096,50763.82978723404,60461.17021276596
15249,11208.510638297872,12901.329787234043
15295,5566.223404255319,7015.691489361702
15304,225204.52127659574,198597.87234042553
15323,7641.489361702128,11688.563829787234
15356,21729.521276595744,17437.5
15370,47808.51063829787,61197.87234042553
15376,20521.010638297874,57977.65957446808
15380,26392.81914893617,20626.32978723404
15389,-183.77659574468086,-1023.6702127659574
15401,175.53191489361703,1252.9255319148936
15411,1279.2553191489362,3696.0106382978724
15412,64021.01063829787,85010.37234042553
15454,4987.234042553191,5879.521276595745
15582,1238.563829787234,377.9255319148936
15607,1741.7553191489362,857.4468085106383
15624,21416.22340425532,28536.17021276596
15841,-761.968085106383,829.2553191489362
15897,575.0,-75.26595744680851
15919,60818.617021276594,42332.44680851064
15991,-2194.4148936170213,-725.0
16101,3775.2659574468084,2036.968085106383
16133,39.8936170212766,31.648936170212767
16218,-605.3191489361702,2890.159574468085
16869,3418.0851063829787,1227.9255319148936
