op_unique_carrier,month,mean_delay,flight_count
EV,11,10.6202079402674,25429
EV,12,14.639321192053,24941
F9,1,7.80975943570037,19164
F9,2,9.11194983161073,17462
F9,3,4.65474231728677,19222
F9,4,7.45762357613126,19434
F9,5,15.686261682243,21680
F9,6,21.3787607280958,21854
F9,7,18.3800917063616,23222
F9,8,16.0071485305798,23164
F9,9,8.37418352898187,22552
F9,10,10.5843349796757,23285
F9,11,7.48424604441202,22166
F9,12,6.38297193877551,22183
G4,1,7.88513110846246,13515
G4,2,9.15535146591311,14318
G4,3,4.04263426188147,19536
G4,4,7.29382844583261,17429
G4,5,9.79701861890172,17054
G4,6,16.3120522442614,20867
G4,7,14.1205001374004,22111
G4,8,10.6814938154139,16887
G4,9,1.81759828831238,11450
G4,10,4.75899000389459,15463
G4,11,6.82339829321106,15781
G4,12,9.2813981042654,17053
G7,1,10.4355599352432,14622
G7,2,15.4026662508771,13359
G7,3,7.07994361659283,15125
G7,4,1.69411682111766,14412
G7,5,7.19962789415656,14703
G7,6,17.9327373053014,14635
G7,7,8.1392441442736,14250
G7,8,13.1969823390349,14714
G7,9,1.36244575936884,12805
G7,10,3.95392686079221,13182
G7,11,8.79959887685519,12710
G7,12,8.0386918126029,13487
HA,1,0.925690814040329,13412
HA,2,6.010183639399,12023
HA,3,1.72531089978054,13729
HA,4,0.774390243902439,13641
HA,5,-0.26473063973064,14273
HA,6,0.862823888042123,14501
HA,7,0.0550833049982999,14731
HA,8,0.405463598438972,14934
HA,9,-1.09448130057593,13796
HA,10,1.51380206504179,14280
HA,11,-1.44279367853762,13791
HA,12,0.289564616447823,14490
KS,1,18.8045977011494,401
KS,2,24.5939393939394,224
KS,3,15.6328502415459,248
KS,4,4.40772532188841,264
KS,5,10.5443548387097,270
KS,6,27.6666666666667,368
KS,7,11.8074074074074,284
KS,8,37.4196078431373,294
KS,9,17.866935483871,290
KS,10,5.61764705882353,296
KS,11,10.2692307692308,118
KS,12,16.5416666666667,140
MQ,1,7.53100646841954,47327
MQ,2,11.6334337203089,44019
